id,title,description,availability,condition,price,link,image_link,brand,product_type,custom_label_0,custom_label_1,custom_label_2
FAC-001,Limpieza profunda ultrasónica,"Limpieza facial de 90 minutos con ultrasonido para retirar impurezas visibles y profundas, mejorar textura y preparar la piel para absorber mejor los activos. Incluye extracción de milium, alta frecuencia y mascarilla de hidrogel. Duración: 90 min.",in stock,new,1590.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20Limpieza%20profunda%20ultras%C3%B3nica%20%28FAC-001%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_FAC-001_limpieza-profunda-ultrasonica.jpg,FLORECER Skin & Wellness,Faciales y renovación,,Fijo,Lista para catálogo / revisar copy del anuncio
FAC-002,Limpieza con microdermoabrasión,"Exfoliación profesional con puntas de diamante que retira células muertas y deja la piel más suave, luminosa y receptiva a los nutrientes. Incluye mascarilla de hidrogel. Duración: 90 min.",in stock,new,1990.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20Limpieza%20con%20microdermoabrasi%C3%B3n%20%28FAC-002%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_FAC-002_limpieza-con-microdermoabrasion.jpg,FLORECER Skin & Wellness,Faciales y renovación,,Fijo,Lista para catálogo / revisar copy del anuncio
FAC-003,Facial antiacné,Protocolo facial personalizado para piel con tendencia acneica y apariencia de cicatrices. Combina técnicas profesionales según valoración e incluye mascarilla de hidrogel. Duración: 90 min.,in stock,new,1690.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20Facial%20antiacn%C3%A9%20%28FAC-003%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_FAC-003_facial-antiacne.jpg,FLORECER Skin & Wellness,Faciales y renovación,,Fijo,Revisar copy: no dirigirse al usuario por una condición de salud
FAC-004,Dermaplaning,"Exfoliación mecánica que retira células muertas y vello facial superficial para revelar una piel limpia, suave y luminosa. Incluye mascarilla de hidrogel. Duración: 40 min.",in stock,new,1320.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20Dermaplaning%20%28FAC-004%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_FAC-004_dermaplaning.jpg,FLORECER Skin & Wellness,Faciales y renovación,,Fijo,Lista para catálogo / revisar copy del anuncio
FAC-005,Microneedling facial,"Protocolo de microagujas orientado a mejorar la apariencia de poros, textura, líneas finas y cicatrices de acné. Incluye mascarilla de hidrogel y valoración previa. Duración: 90 min.",in stock,new,1700.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20Microneedling%20facial%20%28FAC-005%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_FAC-005_microneedling-facial.jpg,FLORECER Skin & Wellness,Faciales y renovación,,Fijo,Revisión profesional previa
FAC-006,Extracción con Plasma Pen,"Procedimiento localizado con energía de plasma para extracción de verrugas, sujeto a valoración por tamaño y cantidad. Precio desde $550 MXN. Rango informado: $550 a $3,700 MXN. Duración: 15 min.",in stock,new,550.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20Extracci%C3%B3n%20con%20Plasma%20Pen%20%28FAC-006%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_FAC-006_extraccion-con-plasma-pen.jpg,FLORECER Skin & Wellness,Faciales y renovación,,Desde,No pautar sin validación médica y de política
FAC-007,Láser Nd:YAG para manchas,"Sesión con láser Nd:YAG para mejorar la apariencia de manchas, tono disparejo y piel apagada. Disponible para zona facial o corporal, con valoración previa. Facial $1,050 MXN | Corporal $1,580 MXN.",in stock,new,1050.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20L%C3%A1ser%20Nd%3AYAG%20para%20manchas%20%28FAC-007%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_FAC-007_laser-nd-yag-para-manchas.jpg,FLORECER Skin & Wellness,Faciales y renovación,,Desde,Lista para catálogo / revisar copy del anuncio
FAC-008,Yoga facial,"Experiencia de bienestar que combina relajación y ejercicios faciales para favorecer circulación, oxigenación y tonificación del rostro. Ayuda a suavizar visualmente bolsas, ojeras y líneas de expresión. Duración: 40 min.",in stock,new,850.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20Yoga%20facial%20%28FAC-008%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_FAC-008_yoga-facial.jpg,FLORECER Skin & Wellness,Faciales y renovación,,Fijo,Lista para catálogo / revisar copy del anuncio
FAC-009,BB Glow,"Tratamiento coreano con activos hidratantes para un efecto de piel luminosa y uniforme visible desde la sesión. Favorece hidratación, suavidad y apariencia progresiva de manchas y líneas finas. Incluye mascarilla de hidrogel. Duración: 90 min.",in stock,new,2100.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20BB%20Glow%20%28FAC-009%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_FAC-009_bb-glow.jpg,FLORECER Skin & Wellness,Faciales y renovación,Best Seller,Fijo,Lista para catálogo / revisar copy del anuncio
FAC-010,Hollywood Peel,"Protocolo con efecto renovador para piel grasa o con tendencia acneica. Ayuda a retirar células muertas, controlar la apariencia de oleosidad y mejorar luminosidad. Incluye mascarilla de hidrogel. Duración: 90 min.",in stock,new,2210.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20Hollywood%20Peel%20%28FAC-010%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_FAC-010_hollywood-peel.jpg,FLORECER Skin & Wellness,Faciales y renovación,,Fijo,Revisar copy: evitar promesas o atributos personales
FAC-011,Hydrojelly Mask,"Mascarilla orgánica y cruelty free que complementa cualquier facial: hidrata, calma, ayuda a reducir la apariencia de inflamación y mejora la absorción de activos. Duración: Complemento de facial.",in stock,new,320.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20Hydrojelly%20Mask%20%28FAC-011%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_FAC-011_hydrojelly-mask.jpg,FLORECER Skin & Wellness,Faciales y renovación,,Fijo,Lista para catálogo / revisar copy del anuncio
FAC-012,Radiofrecuencia fraccionada facial,"Protocolo integral con limpieza, anestesia tópica, microagujas y radiofrecuencia con activos elegidos según la necesidad de la piel. Orientado a textura, poros, firmeza, cicatrices y luminosidad. Pack 3 sesiones: $16,380 MXN (20% OFF). Duración: 90 min.",in stock,new,6830.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20Radiofrecuencia%20fraccionada%20facial%20%28FAC-012%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_FAC-012_radiofrecuencia-fraccionada-facial.jpg,FLORECER Skin & Wellness,Faciales y renovación,Best Seller,Fijo,Revisión profesional previa
PIG-001,IPL + Peeling Melanostop,"Tratamiento combinado para mejorar la apariencia de manchas, unificar visualmente el tono y devolver luminosidad a la piel. Pack 3 sesiones: $9,370 MXN (15% OFF).",in stock,new,3680.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20IPL%20%2B%20Peeling%20Melanostop%20%28PIG-001%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_PIG-001_ipl-peeling-melanostop.jpg,FLORECER Skin & Wellness,"Manchas, tono e IPL",,Fijo,Revisión de política: evitar señalar atributos personales
PIG-002,IPL + Peeling cara y escote,"Protocolo de luz pulsada y peeling aplicado en cara y escote para mejorar luminosidad y tono irregular. Pack 3 sesiones: $10,980 MXN (15% OFF).",in stock,new,4310.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20IPL%20%2B%20Peeling%20cara%20y%20escote%20%28PIG-002%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_PIG-002_ipl-peeling-cara-y-escote.jpg,FLORECER Skin & Wellness,"Manchas, tono e IPL",,Fijo,Revisión de política: evitar señalar atributos personales
PIG-003,IPL + Facial + Melanostop + Hydrojelly,"Combo completo para piel opaca, apariencia de manchas, melasma o fotoenvejecimiento. Integra IPL, facial, peeling Melanostop y mascarilla Hydrojelly para renovar, hidratar e iluminar. Pack 3 sesiones: $10,440 MXN (15% OFF).",in stock,new,4100.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20IPL%20%2B%20Facial%20%2B%20Melanostop%20%2B%20Hydrojelly%20%28PIG-003%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_PIG-003_ipl-facial-melanostop-hydrojelly.jpg,FLORECER Skin & Wellness,"Manchas, tono e IPL",,Fijo,Revisión profesional previa
PIG-004,IPL para rosácea,"Sesión de luz pulsada orientada a disminuir visualmente el enrojecimiento y favorecer un tono más uniforme. Requiere valoración previa. Pack 3 sesiones: $5,360 MXN (15% OFF).",in stock,new,2100.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20IPL%20para%20ros%C3%A1cea%20%28PIG-004%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_PIG-004_ipl-para-rosacea.jpg,FLORECER Skin & Wellness,"Manchas, tono e IPL",,Fijo,No dirigirse al usuario por una condición de salud
PIG-005,Microneedling + Tranex,Protocolo de renovación con microneedling y activo despigmentante Tranex para mejorar la apariencia de manchas y tono irregular.,in stock,new,3680.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20Microneedling%20%2B%20Tranex%20%28PIG-005%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_PIG-005_microneedling-tranex.jpg,FLORECER Skin & Wellness,"Manchas, tono e IPL",,Fijo,Revisión profesional previa
PIG-006,Láser Nd + Microneedling Tranex,"Combinación avanzada de láser Nd:YAG, microneedling y Tranex para protocolos de hiperpigmentación y melasma, siempre con valoración previa. Pack 3 sesiones: $6,693 MXN (15% OFF).",in stock,new,2625.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20L%C3%A1ser%20Nd%20%2B%20Microneedling%20Tranex%20%28PIG-006%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_PIG-006_laser-nd-microneedling-tranex.jpg,FLORECER Skin & Wellness,"Manchas, tono e IPL",,Fijo,Revisión profesional previa
BIO-001,NCTF + Microneedling,"Cóctel revitalizante aplicado con microneedling para mejorar luminosidad, textura, hidratación y calidad general de la piel. Pack 3 sesiones: $9,639 MXN (15% OFF).",in stock,new,3780.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20NCTF%20%2B%20Microneedling%20%28BIO-001%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_BIO-001_nctf-microneedling.jpg,FLORECER Skin & Wellness,Bioestimulación celular,,Fijo,Revisión profesional previa
BIO-002,Exosomas,"Protocolo para rostro y cuello que favorece regeneración, firmeza, elasticidad, hidratación y una apariencia más uniforme y luminosa. Pack 3 sesiones: $9,640 MXN (15% OFF).",in stock,new,3780.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20Exosomas%20%28BIO-002%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_BIO-002_exosomas.jpg,FLORECER Skin & Wellness,Bioestimulación celular,,Fijo,Revisión profesional previa
BIO-003,Exosomas + PDRN de salmón,"Protocolo premium para rostro, cuello y escote que combina exosomas y PDRN para apoyar reparación, hidratación, firmeza, textura y luminosidad de la piel. Pack 3 sesiones: $13,660 MXN (15% OFF).",in stock,new,5360.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20Exosomas%20%2B%20PDRN%20de%20salm%C3%B3n%20%28BIO-003%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_BIO-003_exosomas-pdrn-de-salmon.jpg,FLORECER Skin & Wellness,Bioestimulación celular,Best Seller,Fijo,Revisión profesional previa
BIO-004,PDRN de salmón,"Aplicación facial orientada a regeneración, hidratación, firmeza, elasticidad, textura y apariencia de líneas finas o manchas. Pack 3 sesiones: $10,210 MXN (10% OFF).",in stock,new,3780.00 MXN,https://wa.me/529843218001?text=Hola%2C%20me%20interesa%20PDRN%20de%20salm%C3%B3n%20%28BIO-004%29.%20%C2%BFMe%20pueden%20dar%20informaci%C3%B3n%3F,https://raw.githubusercontent.com/DevAiSolves/florecer-catalogo/main/catalogo/FLORECER_BIO-004_pdrn-de-salmon.jpg,FLORECER Skin & Wellness,Bioestimulación celular,,Fijo,Revisión profesional previa
